No,시도,구군,평균,사회안전에 대한 인식 b),인구 천명당 cctv 대수 b),인구 십만명당 응급의료기관 및 응급실 운영기관수,단위면적당 지역경찰관서 수,지역안전등급 현황 중 '교통사고 및 화재' a)
32,부산광역시,남구,0.5062,0.6967,0.1939,0.1621,0.7675,0.7117
33,부산광역시,북구,0.3248,0.3869,0.2642,0.3066,0.5319,0.5075
34,부산광역시,해운대구,0.3942,0.3194,0.3091,0.239,0.6225,0.7117
35,부산광역시,사하구,0.1436,0.2858,0.2059,0.1059,0.5639,0.3014
36,부산광역시,금정구,0.1765,0.3869,0.1769,0.2601,0.4347,0.3014
37,부산광역시,강서구,0.2717,0.8507,0.3321,0.2577,0.3838,0.0162
38,부산광역시,연제구,0.43,0.3706,0.1824,0.1854,0.8572,0.7117
39,부산광역시,수영구,0.4349,0.3348,0.2701,0.5014,0.9139,0.3014
40,부산광역시,사상구,0.1576,0.2209,0.1348,0.3972,0.6066,0.1446
41,부산광역시,기장군,0.4411,0.308,0.3505,0.3608,0.3354,0.9852
42,대구광역시,중구,0.7281,0.0619,0.6931,0.9371,0.9866,0.5075
43,대구광역시,동구,,0.0606,0.2475,0.2033,0.3835,0.1446
44,대구광역시,서구,0.1849,0.0593,0.22,0.1977,0.8062,0.3014
45,대구광역시,남구,0.4562,0.2405,0.3113,0.884,0.8039,0.1446
46,대구광역시,북구,0.2096,0.0632,0.2512,0.1804,0.451,0.7117
47,대구광역시,수성구,0.2574,0.254,0.2292,0.1403,0.4632,0.7117
48,대구광역시,달서구,0.3668,0.0701,0.1882,0.316,0.6828,0.8638
49,대구광역시,달성군,0.306,0.1095,0.2522,0.2541,0.3405,0.9852
50,인천광역시,중구,0.2809,0.4875,0.3702,0.481,0.3844,0.1446
51,인천광역시,동구,0.7416,0.2965,0.4514,0.8347,0.9315,0.7117
52,인천광역시,연수구,0.3015,0.1843,0.2679,0.15,0.4623,0.8638
53,인천광역시,남동구,0.3163,0.1092,0.2753,0.1331,0.5907,0.8638
54,인천광역시,부평구,0.3734,0.1686,0.185,0.2038,0.871,0.7117
55,인천광역시,계양구,0.3322,0.0417,0.3111,0.2182,0.4985,0.9492
56,인천광역시,서구,0.3136,0.2196,0.3443,0.2858,0.4028,0.7117
57,인천광역시,미추홀구,0.3312,0.2119,0.222,0.1852,0.8892,0.5075
58,인천광역시,강화군,0.4645,0.6707,0.2473,0.4282,0.3509,0.7117
59,인천광역시,옹진군,0.755,0.8056,0.2516,0.9877,0.3565,0.8638
60,광주광역시,동구,0.2974,0.3919,0.2763,0.6212,0.4824,0.1446
61,광주광역시,서구,0.3045,0.1928,0.1831,0.4843,0.5695,0.5075
62,광주광역시,남구,0.3902,0.1985,0.4631,0.5443,0.4764,0.5075
63,광주광역시,북구,0.1966,0.3524,0.4158,0.4032,0.4313,0.0162
64,광주광역시,광산구,0.1435,0.1239,0.2123,0.5816,0.4001,0.1446
65,대전광역시,동구,0.0392,0.2906,0.2594,0.1768,0.3733,0.0549
66,대전광역시,중구,0.1405,0.405,0.1871,0.3647,0.442,0.0549
67,대전광역시,서구,0.3141,0.5448,0.251,0.2138,0.4484,0.5075
68,대전광역시,유성구,0.3601,0.5425,0.3524,0.1495,0.3451,0.7117
69,대전광역시,대덕구,0.18,0.5814,0.2427,0.3299,0.3999,0.0162
70,울산광역시,중구,0.4789,0.2895,0.3949,0.5079,0.5475,0.7117
71,울산광역시,남구,0.5006,0.3746,0.539,0.4457,0.4444,0.7117
72,울산광역시,동구,0.4477,0.2306,0.5529,0.2113,0.5009,0.8638
73,울산광역시,북구,0.4291,0.2405,0.5529,0.296,0.3513,0.8638
74,울산광역시,울주군,0.529,0.5091,0.5071,0.2791,0.3184,0.9852
75,세종특별자치시,세종시,0.1578,0.693,0.2724,0.1551,0.3292,0.0549
76,경기도,수원시,0.4344,0.0856,0.4099,0.1891,0.6502,0.9852
77,경기도,성남시,0.3541,0.1136,0.2186,0.2159,0.5861,0.9492
78,경기도,의정부시,0.3894,0.051,0.5318,0.3351,0.4057,0.8638
79,경기도,안양시,0.4114,0.0776,0.4137,0.1602,0.6155,0.9852
80,경기도,부천시,0.4468,0.0456,0.3591,0.234,0.7688,0.9492
81,경기도,광명시,0.4316,0.2644,0.3721,0.153,0.5373,0.9852
82,경기도,평택시,0.2515,0.0521,0.5082,0.3601,0.353,0.5075
83,경기도,동두천시,0.2929,0.038,0.8608,0.3141,0.3888,0.3014
84,경기도,안산시,0.4194,0.0943,0.2389,0.4464,0.5472,0.9492
85,경기도,고양시,0.2593,0.0619,0.2713,0.2044,0.4026,0.8638
86,경기도,과천시,0.5269,0.3194,0.9085,0.1059,0.3953,0.8638
87,경기도,구리시,0.4206,0.098,0.3646,0.4347,0.5185,0.8638
88,경기도,남양주시,0.2716,0.073,0.3434,0.2069,0.353,0.8638
89,경기도,오산시,0.4564,0.0823,0.4833,0.4029,0.4674,0.9492
90,경기도,시흥시,0.3102,0.122,0.3174,0.2246,0.4261,0.8638
91,경기도,군포시,0.4638,0.1036,0.4766,0.3257,0.5517,0.9492
92,경기도,의왕시,0.4408,0.0701,0.6333,0.2204,0.4299,0.9852
93,경기도,하남시,0.1968,0.1157,0.295,0.1059,0.3916,0.7117
94,경기도,용인시,0.399,0.1905,0.6593,0.1502,0.3519,0.8638
95,경기도,파주시,0.1751,0.1095,0.1818,0.2235,0.3291,0.7117
96,경기도,이천시,0.2407,0.073,0.4102,0.4135,0.3448,0.5075
97,경기도,안성시,0.0707,0.0632,0.3857,0.3273,0.3269,0.1446
98,경기도,김포시,0.2981,0.0745,0.437,0.1838,0.3592,0.8638
99,경기도,화성시,0.1456,0.0701,0.3864,0.1691,0.3357,0.5075
100,경기도,광주시,0.197,0.155,0.2741,0.1476,0.3319,0.7117
101,경기도,양주시,0.2128,0.0568,0.5747,0.1815,0.3463,0.5075
102,경기도,포천시,0.1127,0.1736,0.4256,0.3927,0.3249,0.0549
103,경기도,여주시,0.2874,0.2306,0.5027,0.5281,0.3241,0.3014
104,경기도,연천군,0.3704,0.1848,0.6766,0.6553,0.3135,0.3014
105,경기도,가평군,0.4336,0.3506,0.8896,0.4683,0.308,0.3014
106,경기도,양평군,0.3619,0.2609,0.7494,0.2692,0.3193,0.5075
107,강원도,춘천시,0.2573,0.6465,0.2172,0.3219,0.3111,0.3014
108,강원도,원주시,0.2228,0.4117,0.1917,0.2718,0.3135,0.5075
109,강원도,강릉시,0.3929,0.8272,0.2089,0.5529,0.3073,0.3014
110,강원도,동해시,0.4471,0.7188,0.3614,0.6418,0.3342,0.3014
111,강원도,태백시,0.5021,0.9007,0.4982,0.6522,0.3241,0.1446
112,강원도,속초시,0.5777,0.8719,0.325,0.7097,0.3284,0.5075
