No,시도,구군,평균,주관적 건강수준 인지율,인구 십만명당 정신건강증진기관 수,인구 천명당 의료기관 종사 의사수,건강생활실천율,인구 천명당 의료기관병상수
204,경상북도,성주군,0.5303,0.4659,0.5924,0.3563,0.652,0.7654
205,경상북도,칠곡군,0.2622,0.1361,0.6689,0.2839,0.2371,0.5249
206,경상북도,예천군,0.1455,0.089,0.0876,0.336,0.4809,0.4301
207,경상북도,봉화군,0.1613,0.0941,0.7899,0.3162,0.0425,0.2389
208,경상북도,울진군,0.0535,0.0606,0.0876,0.3437,0.3719,0.2234
209,경상북도,울릉군,0.1876,0.3514,0.0876,0.4576,0.4889,0.1924
210,경상남도,진주시,0.4732,0.5403,0.2297,0.5899,0.6484,0.6148
211,경상남도,통영시,0.2398,0.2204,0.2048,0.3705,0.4296,0.5435
212,경상남도,사천시,0.3079,0.4229,0.2321,0.3834,0.1181,0.8618
213,경상남도,김해시,0.2019,0.1652,0.1694,0.3737,0.1907,0.731
214,경상남도,밀양시,0.2676,0.1539,0.245,0.3594,0.3276,0.7849
215,경상남도,거제시,0.1163,0.4047,0.1419,0.3222,0.1599,0.2884
216,경상남도,양산시,0.5265,0.8309,0.2283,0.6159,0.3985,0.7443
217,경상남도,창원시,0.2656,0.2442,0.1708,0.4727,0.3276,0.6482
218,경상남도,의령군,0.4545,0.2693,0.887,0.4325,0.1907,0.775
219,경상남도,함안군,0.304,0.4535,0.3835,0.2911,0.2559,0.6198
220,경상남도,창녕군,0.6022,0.7151,0.4069,0.4559,0.5366,0.9805
221,경상남도,고성군,0.4364,0.2113,0.9959,0.3594,0.219,0.7027
222,경상남도,남해군,0.2455,0.0325,0.6019,0.3563,0.6031,0.1961
223,경상남도,하동군,0.2093,0.1295,0.5549,0.3515,0.1413,0.4802
224,경상남도,산청군,0.3469,0.1328,0.7321,0.3299,0.8865,0.0794
225,경상남도,함양군,0.2036,0.0413,0.9857,0.3253,0.1775,0.1068
226,경상남도,거창군,0.215,0.4107,0.4134,0.3705,0.073,0.4106
227,경상남도,합천군,0.2128,0.036,0.5756,0.3834,0.032,0.6432
228,제주특별자치도,제주시,0.2537,0.4969,0.3854,0.4609,0.2527,0.224
229,제주특별자치도,서귀포시,0.2537,0.4969,0.3854,0.4609,0.2527,0.224
